movie,Nosey,Bossy,Easygoing,Rebellious,Humble,Conscientious
ID116vid6,45.29411765,35,64.52941176,27.76470588,62.61111111,74.66666667
ID116vid6,45.17647059,35.11764706,64.88235294,27.64705882,57.55555556,74.66666667
ID116vid6,45.17647059,34.29411765,65.23529412,27.05882353,59.33333333,74.93333333
ID116vid6,45.05882353,33.82352941,65.35294118,27.17647059,63.33333333,75.6
ID117vid4,44.8125,41.41176471,54.33333333,38.625,64.9375,53.92857143
ID117vid4,44.8125,41.41176471,54.22222222,38.625,68,54.21428571
ID117vid4,44.875,41.41176471,54.11111111,38.625,68,54.07142857
ID117vid4,41.9375,41.52941176,54.83333333,38.25,68,54.21428571
ID117vid4,36.75,42.82352941,54.5,39,67.875,54.5
ID117vid4,34.125,44,54.16666667,36.375,67.75,55.07142857
ID117vid4,33.5,46.64705882,53.61111111,35.875,65.1875,56.64285714
ID117vid4,32.5,47.94117647,53.38888889,35.75,65.25,57.78571429
ID117vid4,31.75,48.76470588,54.44444444,38.6875,65.125,59.42857143
ID117vid4,31,49.82352941,54.66666667,38.8125,65.375,59.85714286
ID117vid4,29.875,50.52941176,54.55555556,38.125,66.625,61.57142857
ID117vid4,29.125,50.17647059,55.11111111,40.75,67,61.85714286
ID117vid4,28.75,49.94117647,55.11111111,39.75,65.9375,62.14285714
ID117vid4,28.25,49,54.88888889,39.1875,67.0625,61.57142857
ID117vid4,28.125,48.76470588,54.77777778,35.8125,67.3125,61.42857143
ID117vid4,28.625,48.17647059,55.22222222,38.25,67.4375,61.28571429
